약국명칭,약국전화번호,약국소재지(도로명), 위도, 경도
김약국,051-626-3315,부산광역시 수영구 수영로 388 (남천동),35.141006,129.107206
다정약국,051-817-6949,"부산광역시 수영구 수영로611번길 15, 1층 (광안동)",35.160542,129.112794
스타약국,051-612-7645,"부산광역시 수영구 수영로 379, 1층 (남천동)",35.140897,129.106271
수영조은약국,051-753-7282,"부산광역시 수영구 수영로611번길 9, 1층 (광안동)",35.160504,129.113024
고은약국,070-7779-6261,"부산광역시 수영구 수영로725번길 4, 1층 (수영동, 본정형외과)",35.168935,129.118528
푸른약국,051-759-4279,"부산광역시 수영구 수영로611번길 5, 1층 (광안동)",35.160384,129.113285
소망약국,051-756-2462,부산광역시 수영구 연수로 408 (광안동),35.168115,129.113588
신세계약국,051-757-6880,"부산광역시 수영구 광남로 222, 101호 (민락동)",35.15868,129.123119
수영건강약국,051-759-1319,"부산광역시 수영구 수영로 669, 1층 (광안동)",35.165592,129.114509
미래약국,051-628-9991,"부산광역시 수영구 수영로 386-1, 1층 (남천동)",35.140934,129.107172
수명약국,051-757-1254,부산광역시 수영구 수영로588번길 7 (광안동),35.158298,129.113674
진약국,051-714-7166,부산광역시 수영구 연수로 267 (망미동),35.173367,129.100102
광안서호약국,051-759-1688,부산광역시 수영구 광남로 121 (광안동),35.152553,129.116021
온누리조약국,051-753-2077,부산광역시 수영구 수영로 605-1 (광안동),35.159897,129.113301
남천약국,051-621-8383,부산광역시 수영구 수영로388번길 6 (남천동),35.140932,129.107369
민트약국,051-992-5596,"부산광역시 수영구 광남로 203, 1층 (민락동)",35.158877,129.121266
오렌지약국,051-626-0700,"부산광역시 수영구 수영로 410, 정암빌딩동 1층 101호 (남천동)",35.142488,129.108795
희망오륙도약국,051-752-5225,부산광역시 수영구 수영로611번길 7 (광안동),35.16043,129.113198
포도나무약국,051-626-1144,부산광역시 수영구 남천동로 36 (남천동),35.141217,129.111697
이화메디컬약국,051-761-4222,"부산광역시 수영구 수영로 710-1, 102호 (광안동)",35.167712,129.117249
큰사랑약국,051-757-7000,부산광역시 수영구 연수로 402 (광안동),35.16858,129.113079
팔도새시장약국,051-752-2828,부산광역시 수영구 수영성로 27 (수영동),35.170158,129.116888
메가약국,051-622-5458,"부산광역시 수영구 황령대로 521, 1층 (남천동)",35.137275,129.111018
우리약국,051-751-7674,"부산광역시 수영구 광안로 4, 상가104호 (광안동)",35.156958,129.113392
동신약국,051-753-2276,부산광역시 수영구 수영로 521 (광안동),35.152468,129.111509
제일약국,051-301-7823,부산광역시 수영구 광안해변로 431 (민락동),35.159947,129.129315
자하연약국,051-752-5566,부산광역시 수영구 망미로22번길 54 (망미동),35.171008,129.101794
엘림약국,051-624-7794,부산광역시 수영구 황령대로481번길 13 (남천동),35.139382,129.10737
광안우리약국,051-752-0527,부산광역시 수영구 수영로 632 (광안동),35.162015,129.114339
임호당약국,051-623-8772,"부산광역시 수영구 남천동로 41 (남천동, 하늘채@ 상가501동 10호)",35.143343,129.111868
늘푸른약국,051-612-7875,부산광역시 수영구 수영로 390-1 (남천동),35.141238,129.10745
수영약국,051-754-6562,부산광역시 수영구 수영로 697 (수영동),35.167834,129.115758
대영약국,051-756-5040,부산광역시 수영구 연수로 423 (수영동),35.167858,129.115144
포스코약국,051-755-3258,"부산광역시 수영구 연수로315번길 24, 306호 (망미동)",35.173472,129.105395
목동약국,051-759-2146,부산광역시 수영구 수영성로 33-1 (수영동),35.170254,129.116241
비타민약국,051-756-1367,부산광역시 수영구 연수로 265-1 (망미동),35.173333,129.099948
우리약국,051-612-6500,부산광역시 수영구 황령산로8번길 54 (남천동),35.149848,129.110234
한사랑 약국,051-755-6181,부산광역시 수영구 수영로 637-3 (광안동),35.16256,129.113919
현대 약국,051-759-5637,부산광역시 수영구 수영로741번길 29 (수영동),35.169472,129.120863
메디칼약국,051-755-3070,"부산광역시 수영구 수영로 621, 1-1,1-2호 (광안동, 부광상가)",35.161273,129.113616
명성 약국,051-752-5087,부산광역시 수영구 수영로 621 (광안동),35.161273,129.113616
정약국,051-756-2631,부산광역시 수영구 수영로 602-2 (광안동),35.159451,129.113745
이화약국,051-752-5223,부산광역시 수영구 연수로 378-2 (광안동),35.169841,129.111131
조은약국,051-623-7673,부산광역시 수영구 수영로 491 (남천동),35.14979,129.110606
미소약국,051-626-7200,부산광역시 수영구 황령대로 483 (남천동),35.138906,129.107144
명성약국,051-756-2546,부산광역시 수영구 과정로 63 (망미동),35.177071,129.107091
늘푸른약국,051-752-5840,부산광역시 수영구 광남로 223 (민락동),35.159031,129.1232
세림약국,051-621-0025,부산광역시 수영구 광남로 43 (남천동),35.146699,129.111519
건강약국,051-761-1820,부산광역시 수영구 과정로 69 (망미동),35.177577,129.107054
모자약국,051-751-0035,부산광역시 수영구 수영로 557 (광안동),35.155544,129.11232
이화 약국,051-758-5791,부산광역시 수영구 수영로 565 (광안동),35.156299,129.112549
세종약국,051-758-4915,부산광역시 수영구 광안해변로277번길 3 (민락동),35.156048,129.124026
메디팜 정은주 약국,051-758-9110,부산광역시 수영구 광남로 224 (민락동),35.158741,129.123295
광안약국,051-757-2656,부산광역시 수영구 광일로 40 (광안동),35.162696,129.109881
동산약국,051-625-6264,부산광역시 수영구 수영로464번길 11 (남천동),35.147298,129.111044
삼성약국,051-751-6266,부산광역시 수영구 망미로22번길 55 (망미동),35.170766,129.101725
엄지약국,051-752-7453,부산광역시 수영구 수영로 513 (광안동),35.151785,129.111314
삼화약국,051-626-2073,부산광역시 수영구 황령대로 491 (남천동),35.13845,129.107774
남산약국,051-622-0811,부산광역시 수영구 수영로384번길 43 (남천동),35.139391,129.108358
우리약국,051-756-0265,부산광역시 수영구 구락로 69 (망미동),35.173412,129.116888
동산약국,051-754-7820,부산광역시 수영구 과정로 41 (망미동),35.174941,129.107435
덕성약국,051-753-8251,부산광역시 수영구 광안해변로255번길 12 (민락동),35.155682,129.12176
대한약국,051-752-4092,부산광역시 수영구 수영로 607-1 (광안동),35.160095,129.113402
경화약국,051-753-9996,부산광역시 수영구 수영로 592 (광안동),35.158632,129.11369
동림약국,051-754-1467,부산광역시 수영구 구락로75번길 4 (망미동),35.173943,129.116939
동방약국,051-753-9483,부산광역시 수영구 감포로 2 (민락동),35.15887,129.121091
영진약국,051-752-1316,부산광역시 수영구 수영로 707 (수영동),35.168077,129.116727
우리약국,051-753-3825,부산광역시 수영구 민락로6번길 31 (민락동),35.156887,129.124027
동화약국,051-752-3607,부산광역시 수영구 수영로 582 (광안동),35.157625,129.113402
바다약국,051-752-7118,부산광역시 수영구 광남로 108 (광안동),35.15143,129.115622
무지개약국,051-752-1049,부산광역시 수영구 광서로 5-3 (광안동),35.163902,129.113981
