"설치장소명",설치장소상세,설치시도명,설치시군구명,설치시설구분,서비스제공사명,와이파이SSID,설치년월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자
"반여3동 골목시장",시장,부산광역시,해운대구,서민·복지시설,SKT,Public WiFi,2014-12,부산광역시 해운대구 재반로256번길 8,부산광역시 해운대구 반여3동 1607-2,부산광역시,051-888-4601,35.199931,129.132061,2018-02-12
"반여3동주민센터",민원실,부산광역시,해운대구,관공서,SKT,Public WiFi,2014-12,부산광역시 해운대구 재반로256번길 29-70 (반여동),부산광역시 해운대구 반여동 1591-4번지,부산광역시,051-888-4601,35.2009859,129.1335166,2018-02-12
"반여4동주민센터",민원실,부산광역시,해운대구,관공서,SKT,Public WiFi,2014-12,부산광역시 해운대구 삼어로133번길 50 (반여동),부산광역시 해운대구 반여동 1122번지,부산광역시,051-888-4601,35.2091987,129.1172135,2018-02-12
"반여농산물 도매시장",시장,부산광역시,해운대구,서민·복지시설,SKT,Public WiFi,2014-12,부산광역시 해운대구 수영강변대로 626,부산광역시 해운대구 반여동 559,부산광역시,051-888-4601,35.2148598,129.1225336,2018-02-12
"반여도서관",도서관,부산광역시,해운대구,지역문화시설,KT,Public WiFi,2015-10,부산광역시 해운대구 재반로282번길 38,부산광역시 해운대구 반여동 1575-78,부산광역시,051-888-4601,35.2018799,129.1337839,2018-02-12
"반여도서관",도서관,부산광역시,해운대구,지역문화시설,SKT,Public WiFi,2015-10,부산광역시 해운대구 재반로 282번길 38,부산광역시 해운대구 반여동 1575-78,부산광역시,051-888-4601,35.2018799,129.1337839,2018-02-12
"반여복지관",복지관,부산광역시,해운대구,서민·복지시설,LGU+,Public WiFi,2013-10,부산광역시 해운대구 재반로226번길 13-73,부산광역시 해운대구 반여2동 1291-1360,부산광역시,051-888-4601,35.1982412,129.1318837,2018-02-12
"반여시장",시장,부산광역시,해운대구,편의시설,SKT,Public WiFi,2015-10,부산광역시 해운대구 해운대로61번길 95-47,부산광역시 해운대구 반여동 1291-918,부산광역시,051-888-4601,35.195617,129.1287678,2018-02-12
"부산동부지원",민원실,부산광역시,해운대구,관공서,KT,Public WiFi,2013-10,부산광역시 해운대구 재반로112번길 19,부산광역시 해운대구 재송동 1133,부산광역시,051-888-4601,35.1892224,129.1292197,2018-02-12
"부산시립미술관",1층,부산광역시,해운대구,지역문화시설,SKT,Public WiFi,2012-01,부산광역시 해운대구 APEC로 58,부산광역시 해운대구 우동 1413,부산광역시,051-888-4601,35.1660415,129.1369819,2018-02-12
"부산시립미술관",2층,부산광역시,해운대구,지역문화시설,SKT,Public WiFi,2012-01,부산광역시 해운대구 APEC로 58,부산광역시 해운대구 우동 1413,부산광역시,051-888-4601,35.1660415,129.1369819,2018-02-12
"부산시립미술관",3층,부산광역시,해운대구,지역문화시설,SKT,Public WiFi,2012-01,부산광역시 해운대구 APEC로 58,부산광역시 해운대구 우동 1413,부산광역시,051-888-4601,35.1660415,129.1369819,2018-02-12
"부산시립미술관",지하1층,부산광역시,해운대구,지역문화시설,SKT,Public WiFi,2012-01,부산광역시 해운대구 APEC로 58,부산광역시 해운대구 우동 1413,부산광역시,051-888-4601,35.1660415,129.1369819,2018-02-12
"부산시립해운대도서관",도서관,부산광역시,해운대구,지역문화시설,KT,Public WiFi,2012-01,부산광역시 해운대구 우동1로 89,부산광역시 해운대구 우1동 379,부산광역시,051-888-4601,35.168802,129.155751,2018-02-12
"부산지방검찰청 동부지청 민원실",민원실,부산광역시,해운대구,관공서,SKT,Public WiFi,2012-01,부산광역시 해운대구 재반로112번길 19,부산광역시 해운대구 재송2동 1133,부산광역시,051-888-4601,35.1892224,129.1292197,2018-02-12
"시립미술관역",역사,부산광역시,해운대구,교통시설,LGU+,Public WiFi,2013-10,부산광역시 해운대구 우2동 1090-2,부산광역시 해운대구 우2동 1090-2,부산광역시,051-888-4601,35.1689035,129.1385252,2018-02-12
"어진샘노인종합복지관",복지관,부산광역시,해운대구,서민·복지시설,LGU+,Public WiFi,2013-10,부산광역시 해운대구 재반로 12번길 16,부산광역시 해운대구 재송1동 100-9,부산광역시,051-888-4601,35.1799103,129.1278193,2018-02-12
"영광재활원",재활원,부산광역시,해운대구,서민·복지시설,SKT,Public WiFi,2014-12,부산광역시 해운대구 삼의로 91번지,부산광역시 해운대구 반여1동 1062-1,부산광역시,051-888-4601,35.205771,129.1179387,2018-02-12
"영진종합사회복지관",복지관,부산광역시,해운대구,서민·복지시설,SKT,Public WiFi,2012-01,부산광역시 해운대구 반여로 165,부산광역시 해운대구 반여1동 1247,부산광역시,051-888-4601,35.205783,129.126315,2018-02-12
"우1동주민센터",민원실,부산광역시,해운대구,관공서,SKT,Public WiFi,2015-10,부산광역시 해운대구 해운대로 612,부산광역시 해운대구 우동 539-4,부산광역시,051-888-4601,35.1628875,129.1580827,2018-02-12
"우2동주민센터",민원실,부산광역시,해운대구,관공서,SKT,Public WiFi,2015-10,부산광역시 해운대구 해운대로 383번가길 7,부산광역시 해운대구 우동 1185-120,부산광역시,051-888-4601,35.1712048,129.1399222,2018-02-12
"우동종합상가시장",시장,부산광역시,해운대구,편의시설,SKT,Public WiFi,2015-10,부산광역시 해운대구 해운대로383번길 21,부산광역시 해운대구 우동 1092-16,부산광역시,051-888-4601,35.1703643,129.1389344,2018-02-12
"우일시장",시장,부산광역시,해운대구,편의시설,SKT,Public WiFi,2015-10,부산광역시 해운대구 우동1로20번길 56,부산광역시 해운대구 우동 552-2,부산광역시,051-888-4601,35.1649926,129.1599029,2018-02-12
"인덕원",인덕원,부산광역시,해운대구,서민·복지시설,KT,Public WiFi,1905-07,부산광역시 해운대구 반송로877번길 122 (반송동),부산광역시 해운대구 반송2동 424-5,부산광역시,051-888-4601,35.235168,129.149861,2018-02-12
"장산노인복지관",복지관,부산광역시,해운대구,서민·복지시설,KT,Public WiFi,2013-10,부산광역시 해운대구 좌동로 126,부산광역시 해운대구 좌동 1305-1,부산광역시,051-888-4601,35.173874,129.178664,2018-02-12
"재반보건지소",민원실,부산광역시,해운대구,서민·복지시설,SKT,Public WiFi,2014-12,부산광역시 해운대구 해운대로61번길 28 (재송동),부산광역시 해운대구 재송동 179-41번지,부산광역시,051-888-4601,35.1924165,129.1228472,2018-02-12
"재송1동주민센터",민원실,부산광역시,해운대구,관공서,SKT,Public WiFi,2014-12,부산광역시 해운대구 재반로63번길 23 (재송동),부산광역시 해운대구 재송1동 274-2번지,부산광역시,051-888-4601,35.1846153,129.1251852,2018-02-12
"재송2동주민센터",민원실,부산광역시,해운대구,관공서,SKT,Public WiFi,2015-10,부산광역시 해운대구 재반로125번길 26,부산광역시 해운대구 재송동 1046,부산광역시,051-888-4601,35.1896039,129.1253134,2018-02-12
"재송어린이도서관",도서관,부산광역시,해운대구,지역문화시설,SKT,Public WiFi,2015-10,부산광역시 해운대구 해운대로 76번길 35-1,부산광역시 해운대구 재송동 948-23,부산광역시,051-888-4601,35.1896156,129.1184815,2018-02-12
"좌1동주민센터",민원실,부산광역시,해운대구,관공서,SKT,Public WiFi,2015-10,부산광역시 해운대구 양운로 91,부산광역시 해운대구 좌동 1458-2,부산광역시,051-888-4601,35.1709067,129.174256,2018-02-12
"좌2동주민센터",민원실,부산광역시,해운대구,관공서,KT,Public WiFi,2015-10,부산광역시 해운대구 좌동순환로302,부산광역시 해운대구 좌동 1327-2,부산광역시,051-888-4601,35.1691557,129.1826244,2018-02-12
"좌3동주민센터",민원실,부산광역시,해운대구,관공서,KT,Public WiFi,2015-10,부산광역시 해운대구 좌동순환로 65,부산광역시 해운대구 좌동 1341-3,부산광역시,051-888-4601,35.1722617,129.1666317,2018-02-12
"좌4동주민센터",민원실,부산광역시,해운대구,관공서,KT,Public WiFi,2015-10,부산광역시 해운대구 좌동순환로 183,부산광역시 해운대구 좌동 1407-6,부산광역시,051-888-4601,35.1778997,129.176251,2018-02-12
"좌동재래시장",시장,부산광역시,해운대구,서민·복지시설,SKT,Public WiFi,2014-12,부산광역시 해운대구 좌동로 91번길 20,부산광역시 해운대구 좌동 892,부산광역시,051-888-4601,35.1730816,129.1744706,2018-02-12
"중1동주민센터",민원실,부산광역시,해운대구,관공서,SKT,Public WiFi,2015-10,부산광역시 해운대구 중동1로 37번길 20,부산광역시 해운대구 중동 1394-68,부산광역시,051-888-4601,35.1625222,129.1642093,2018-02-12
"중2동 주민센터",민원실,부산광역시,해운대구,관공서,SKT,Public WiFi,2015-10,부산광역시 해운대구 좌동순환로433번길 34,부산광역시 해운대구 중동 1519-3,부산광역시,051-888-4601,35.1624026,129.1799244,2018-02-12
"중동거리",중동거리,부산광역시,해운대구,기타,LGU+,Public WiFi,2013-10,부산광역시 해운대구 우2동 1090-2,부산광역시 해운대구 우2동 1090-2,부산광역시,051-888-4601,35.168963,129.138526,2018-02-12
"추리문학관",추리문학관,부산광역시,해운대구,지역문화시설,SKT,Public WiFi,2013-10,부산광역시 해운대구 달맞이길117번나길 111,부산광역시 해운대구 중2동 1483-6,부산광역시,051-888-4601,35.1616978,129.1832955,2018-02-12
"해운대 보건소",민원실,부산광역시,해운대구,서민·복지시설,KT,Public WiFi,2014-12,부산광역시 해운대구 양운로37번길 59　,부산광역시 해운대구 좌동 1339,부산광역시,051-888-4601,35.164085,129.178649,2018-02-12
"해운대 임해행정봉사실",봉사실,부산광역시,해운대구,관공서,LGU+,Public WiFi,2012-10,부산광역시 해운대구 중1동 1415,부산광역시 해운대구 중1동 1415,부산광역시,051-888-4601,35.159181,129.160948,2018-02-12
"해운대구 문화복합센터",센터,부산광역시,해운대구,서민·복지시설,SKT,Public WiFi,2015-10,부산광역시 해운대구 센텀중앙로 170,부산광역시 해운대구 재송동 1192,부산광역시,051-888-4601,35.1820967,129.1215484,2018-02-12
"해운대구청",민원실,부산광역시,해운대구,관공서,SKT,Public WiFi,2015-10,부산광역시 해운대구 중동2로 11,부산광역시 해운대구 중동 1378-95,부산광역시,051-888-4601,35.1629742,129.1637253,2018-02-12
"해운대구청소년문화의집",문화의집,부산광역시,해운대구,지역문화시설,SKT,Public WiFi,2015-10,부산광역시 해운대구 신반송로 173,부산광역시 해운대구 반송동 890,부산광역시,051-888-4601,35.2287844,129.1603893,2018-02-12
"해운대복지관",복지관,부산광역시,해운대구,서민·복지시설,LGU+,Public WiFi,2015-10,부산광역시 해운대구 재반로 12번길 16,부산광역시 해운대구 재송1동 100-9,부산광역시,051-888-4601,35.1799103,129.1278193,2018-02-12
"해운대역",역사,부산광역시,해운대구,교통시설,LGU+,Public WiFi,2013-10,부산광역시 해운대구 해운대로 612,부산광역시 해운대구 우1동 539,부산광역시,051-888-4601,35.163651,129.158897,2018-02-12
"해운대은혜의집",은혜의집,부산광역시,해운대구,서민·복지시설,SKT,Public WiFi,2015-10,부산광역시 해운대구 해운대로295번길 16,부산광역시 해운대구 우동 1201,부산광역시,051-888-4601,35.174262,129.1327413,2018-02-12
"해운대청소년 수련원",수련원,부산광역시,해운대구,지역문화시설,SKT,Public WiFi,2015-10,부산광역시 해운대구 광어골로82번길 25,부산광역시 해운대구 송정동 775-2,부산광역시,051-888-4601,35.1738065,129.1953348,2018-02-12
"고은사진미술관(중1동)",미술관,부산광역시,해운대구,지역문화시설,SKT,Public WiFi,2016-01,부산광역시 해운대구 해운대로452번길 16,부산광역시 해운대구 우동 1005-17,부산광역시,051-888-4601,35.163275,129.141214,2018-02-12
"누리마루Apec하우스",누리마루,부산광역시,해운대구,관광,KT,Public WiFi,2016-01,부산광역시 해운대구 동백로 116 누리마루APEC하우스,부산광역시 해운대구 우동 714-1,부산광역시,051-888-4601,35.152385,129.151302,2018-02-12
"부산반여3동우체국",민원실,부산광역시,해운대구,기타,KT,Public WiFi,2016-01,부산광역시 해운대구 재반로 267,부산광역시 해운대구 반여동 1603-1,부산광역시,051-888-4601,35.201122,129.131511,2018-02-12
"부산우1동우체국",민원실,부산광역시,해운대구,기타,KT,Public WiFi,2016-01,부산광역시 해운대구 중동1로 11,부산광역시 해운대구 우동 601-6,부산광역시,051-888-4601,35.163961,129.161174,2018-02-12
"해운대우체국",민원실,부산광역시,해운대구,기타,KT,Public WiFi,2016-01,부산광역시 해운대구 양운로 87,부산광역시 해운대구 좌동 1458-3,부산광역시,051-888-4601,35.170638,129.174451,2018-02-12
"부산재송동우체국",민원실,부산광역시,해운대구,기타,KT,Public WiFi,2016-01,부산광역시 해운대구 재반로 121-1,부산광역시 해운대구 재송동 1058-18,부산광역시,051-888-4601,35.189303,129.126437,2018-02-12
"농협 해운대중동지점",민원실,부산광역시,해운대구,기타,SKT,Public WiFi,2016-01,부산광역시 해운대구 구남로 23,부산광역시 해운대구 중동 1383-9,부산광역시,051-888-4601,35.162045,129.160509,2018-02-12
"해운대동백섬",동백섬등대광장,부산광역시,해운대구,관광,KT,Public WiFi,2016-01,부산광역시 해운대구 우동 710-1,부산광역시 해운대구 우동 710-1,부산광역시,051-888-4601,35.152417,129.152543,2018-02-12
